2022-11-22 15:36:12 - INFO - python 01_gnn.py --dataset aps --k 1000 --log aps_sage
2022-11-22 15:36:12 - INFO - Namespace(log='aps_sage', gid=2, dataset='aps', data_path='../preprocess/data/aps/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2014, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=2), num_rels=4)
2022-11-22 15:46:21 - INFO - epoch: 0, valid: {2011: {'mrr': 0.08911959826946259, 'hits@1,3,10': [0.02469540573656559, 0.0766540989279747, 0.21548379957675934], 'ndcg,@100': [0.2430270956969324, 0.21190687758236948]}, 2012: {'mrr': 0.0837663933634758, 'hits@1,3,10': [0.0230221189558506, 0.06624840199947357, 0.20145682990550995], 'ndcg,@100': [0.23760989187007298, 0.2054810932675141]}, 2013: {'mrr': 0.07479153573513031, 'hits@1,3,10': [0.019695864990353584, 0.059087593108415604, 0.17226867377758026], 'ndcg,@100': [0.22733354785610052, 0.19254292142543675]}}, train: {'mrr': 0.9575, 'cor': 0, 'loss': 0.7189}
2022-11-22 17:44:17 - INFO - epoch: 11, valid: {2011: {'mrr': 0.2770891785621643, 'hits@1,3,10': [0.14205321669578552, 0.3142654299736023, 0.5801781415939331], 'ndcg,@100': [0.42013838073623877, 0.41002937215599317]}, 2012: {'mrr': 0.26654645800590515, 'hits@1,3,10': [0.13148659467697144, 0.30221182107925415, 0.5678966641426086], 'ndcg,@100': [0.411185256085561, 0.4007356280123805]}, 2013: {'mrr': 0.23471474647521973, 'hits@1,3,10': [0.10543740540742874, 0.26519274711608887, 0.5254474878311157], 'ndcg,@100': [0.3819699027998617, 0.3670814454058681]}}, train: {'mrr': 0.9971, 'cor': 0, 'loss': 0.1938}
2022-11-22 17:54:57 - INFO - epoch: 12, valid: {2011: {'mrr': 0.2888721823692322, 'hits@1,3,10': [0.15183302760124207, 0.32961809635162354, 0.592416524887085], 'ndcg,@100': [0.42995741510805424, 0.4198395929537636]}, 2012: {'mrr': 0.27590471506118774, 'hits@1,3,10': [0.13940876722335815, 0.31576988101005554, 0.5769885182380676], 'ndcg,@100': [0.4189172736446543, 0.40836506838197595]}, 2013: {'mrr': 0.23850318789482117, 'hits@1,3,10': [0.10891644656658173, 0.2704674303531647, 0.5323494672775269], 'ndcg,@100': [0.3850949357118714, 0.3701501065379178]}}, train: {'mrr': 0.9973, 'cor': 0, 'loss': 0.1879}
2022-11-22 18:05:39 - INFO - epoch: 13, valid: {2011: {'mrr': 0.303580105304718, 'hits@1,3,10': [0.16401682794094086, 0.3516363501548767, 0.6119215488433838], 'ndcg,@100': [0.44239038756799753, 0.43238346364900465]}, 2012: {'mrr': 0.28628644347190857, 'hits@1,3,10': [0.14775627851486206, 0.32767972350120544, 0.5898022055625916], 'ndcg,@100': [0.42792484310524853, 0.41774711610845716]}, 2013: {'mrr': 0.24527199566364288, 'hits@1,3,10': [0.11385443806648254, 0.2773694097995758, 0.5414398908615112], 'ndcg,@100': [0.3911042637223857, 0.3764939030143655]}}, train: {'mrr': 0.9975, 'cor': 0, 'loss': 0.1824}
2022-11-22 18:16:32 - INFO - epoch: 14, valid: {2011: {'mrr': 0.3223536014556885, 'hits@1,3,10': [0.18024367094039917, 0.3730536103248596, 0.6289679408073425], 'ndcg,@100': [0.4581158870290836, 0.44873365838983487]}, 2012: {'mrr': 0.3020520508289337, 'hits@1,3,10': [0.16131433844566345, 0.3488940894603729, 0.6106975674629211], 'ndcg,@100': [0.44133618886574, 0.43138516413062783]}, 2013: {'mrr': 0.26322486996650696, 'hits@1,3,10': [0.1278267204761505, 0.3020593822002411, 0.5655125975608826], 'ndcg,@100': [0.40664697081225043, 0.3925697609608168]}}, train: {'mrr': 0.9976, 'cor': 0, 'loss': 0.1766}
2022-11-22 18:27:41 - INFO - epoch: 15, valid: {2011: {'mrr': 0.31983813643455505, 'hits@1,3,10': [0.1766377091407776, 0.3709228038787842, 0.6290771961212158], 'ndcg,@100': [0.4562218463403491, 0.4468480449534754]}, 2012: {'mrr': 0.2949073314666748, 'hits@1,3,10': [0.15456189215183258, 0.3402807414531708, 0.6020310521125793], 'ndcg,@100': [0.4354301821422004, 0.4254408174924395]}, 2013: {'mrr': 0.24946865439414978, 'hits@1,3,10': [0.11559396237134933, 0.28477638959884644, 0.5535604357719421], 'ndcg,@100': [0.3952325896784023, 0.3810644847875317]}}, train: {'mrr': 0.9977, 'cor': 0, 'loss': 0.1717}
2022-11-22 18:39:19 - INFO - epoch: 16, valid: {2011: {'mrr': 0.3366120159626007, 'hits@1,3,10': [0.19259138405323029, 0.39190295338630676, 0.6489099860191345], 'ndcg,@100': [0.47018684077885137, 0.46100737425453797]}, 2012: {'mrr': 0.3086218535900116, 'hits@1,3,10': [0.1664717197418213, 0.35915568470954895, 0.6212781667709351], 'ndcg,@100': [0.44703217542534973, 0.43728843390961886]}, 2013: {'mrr': 0.26748207211494446, 'hits@1,3,10': [0.13141798973083496, 0.30856853723526, 0.573368489742279], 'ndcg,@100': [0.4102485569866518, 0.3962088585442231]}}, train: {'mrr': 0.9978, 'cor': 0, 'loss': 0.1678}
2022-11-22 18:50:47 - INFO - epoch: 17, valid: {2011: {'mrr': 0.3391740024089813, 'hits@1,3,10': [0.19412118196487427, 0.3980768322944641, 0.6489099860191345], 'ndcg,@100': [0.472354963944425, 0.4631313353889699]}, 2012: {'mrr': 0.31513267755508423, 'hits@1,3,10': [0.17189493775367737, 0.36425989866256714, 0.6292535066604614], 'ndcg,@100': [0.4525083842843657, 0.44265984721418866]}, 2013: {'mrr': 0.27063634991645813, 'hits@1,3,10': [0.1313057690858841, 0.3165927827358246, 0.5785870552062988], 'ndcg,@100': [0.41326013460341193, 0.39917048910040964]}}, train: {'mrr': 0.9979, 'cor': 0, 'loss': 0.1629}
2022-11-22 19:02:11 - INFO - epoch: 18, valid: {2011: {'mrr': 0.34832948446273804, 'hits@1,3,10': [0.20368245244026184, 0.4080751836299896, 0.6557394862174988], 'ndcg,@100': [0.4798309174978185, 0.4708559582393964]}, 2012: {'mrr': 0.3185339570045471, 'hits@1,3,10': [0.17418119311332703, 0.3718630373477936, 0.6314865946769714], 'ndcg,@100': [0.45543099764065864, 0.4458480749009794]}, 2013: {'mrr': 0.27242520451545715, 'hits@1,3,10': [0.1330452859401703, 0.3175467252731323, 0.5804949402809143], 'ndcg,@100': [0.41477819756085016, 0.4008219269955122]}}, train: {'mrr': 0.998, 'cor': 0, 'loss': 0.1593}
2022-11-22 19:13:25 - INFO - epoch: 19, valid: {2011: {'mrr': 0.34365472197532654, 'hits@1,3,10': [0.19668906927108765, 0.4034857749938965, 0.6561765670776367], 'ndcg,@100': [0.47637903800417075, 0.467534839108916]}, 2012: {'mrr': 0.316057950258255, 'hits@1,3,10': [0.17040620744228363, 0.3687792420387268, 0.634517252445221], 'ndcg,@100': [0.4538123036135027, 0.4445768545433034]}, 2013: {'mrr': 0.2740781307220459, 'hits@1,3,10': [0.1320352405309677, 0.3223724961280823, 0.5907636880874634], 'ndcg,@100': [0.4167571966493582, 0.4033814998212665]}}, train: {'mrr': 0.998, 'cor': 0, 'loss': 0.1559}
2022-11-22 19:19:32 - INFO - epoch: 20, valid: {2011: {'mrr': 0.3533323407173157, 'hits@1,3,10': [0.20887286961078644, 0.4119543135166168, 0.6610391736030579], 'ndcg,@100': [0.4839526328300987, 0.47503565683679744]}, 2012: {'mrr': 0.3273075520992279, 'hits@1,3,10': [0.18189068138599396, 0.3836665153503418, 0.6403657793998718], 'ndcg,@100': [0.4626926338257084, 0.45323094788981244]}, 2013: {'mrr': 0.28241968154907227, 'hits@1,3,10': [0.14101341366767883, 0.3321923613548279, 0.5930643677711487], 'ndcg,@100': [0.42305913468787126, 0.4093979498487333]}}, train: {'mrr': 0.9981, 'cor': 0, 'loss': 0.1529}
