2022-11-29 01:37:54 - INFO - python 22_fuse.py --dataset rdb --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdb_mbsl --gid 0 --embed_dim 300
2022-11-29 01:37:54 - INFO - Namespace(log='rdb_mbsl', gid=0, dataset='rdb', data_path='../preprocess/data/rdb/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='sage', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=0), num_rels=4)
2022-11-29 01:37:55 - INFO - all_g: Data(x=[25024, 300], edge_index=[2, 151156], edge_attr=[151156], num_nodes=25024, ts_infos=[11, 3], raw_nid=[25024], train_val_split=143281)
2022-11-29 01:40:20 - INFO - epoch: 24, valid: {11: {'mrr': 0.591273844242096, 'hits@1,3,10': [0.47806215286254883, 0.664533793926239, 0.8025594353675842], 'ndcg,@100': [0.6755152630749406, 0.6753782698924616], 'male': 0.5511, 'rmsle': 0.7562, 'cor': 0.8215}}, train: {'mrr': 0.9918, 'cor': 0.8923, 'loss': 0.1978}
2022-11-29 01:40:25 - INFO - epoch: 25, valid: {11: {'mrr': 0.5983049869537354, 'hits@1,3,10': [0.4835466146469116, 0.6727604866027832, 0.8162705898284912], 'ndcg,@100': [0.6814484806426695, 0.6813114874601905], 'male': 0.5484, 'rmsle': 0.7526, 'cor': 0.8242}}, train: {'mrr': 0.9917, 'cor': 0.8953, 'loss': 0.1936}
2022-11-29 01:40:31 - INFO - epoch: 26, valid: {11: {'mrr': 0.6002067923545837, 'hits@1,3,10': [0.48537477850914, 0.6791590452194214, 0.811700165271759], 'ndcg,@100': [0.6830600408095157, 0.6827860544445579], 'male': 0.5457, 'rmsle': 0.7488, 'cor': 0.8267}}, train: {'mrr': 0.9926, 'cor': 0.898, 'loss': 0.1883}
2022-11-29 01:40:37 - INFO - epoch: 27, valid: {11: {'mrr': 0.6059648394584656, 'hits@1,3,10': [0.4899451434612274, 0.6819012761116028, 0.8062157034873962], 'ndcg,@100': [0.6875168278379211, 0.6871058482904843], 'male': 0.5428, 'rmsle': 0.7453, 'cor': 0.829}}, train: {'mrr': 0.9922, 'cor': 0.9006, 'loss': 0.1843}
2022-11-29 01:40:43 - INFO - epoch: 28, valid: {11: {'mrr': 0.6128019094467163, 'hits@1,3,10': [0.4972577691078186, 0.690127968788147, 0.8144423961639404], 'ndcg,@100': [0.6926767538566632, 0.6922657743092264], 'male': 0.5408, 'rmsle': 0.743, 'cor': 0.8314}}, train: {'mrr': 0.9929, 'cor': 0.9026, 'loss': 0.1799}
2022-11-29 01:40:49 - INFO - epoch: 29, valid: {11: {'mrr': 0.6138728260993958, 'hits@1,3,10': [0.4963437020778656, 0.690127968788147, 0.8208409547805786], 'ndcg,@100': [0.6941928078015402, 0.6936448350716246], 'male': 0.5386, 'rmsle': 0.7401, 'cor': 0.8336}}, train: {'mrr': 0.9933, 'cor': 0.9047, 'loss': 0.1763}
2022-11-29 01:40:55 - INFO - epoch: 30, valid: {11: {'mrr': 0.6186115145683289, 'hits@1,3,10': [0.5009140968322754, 0.7010968923568726, 0.8226690888404846], 'ndcg,@100': [0.6983314237685286, 0.6980574374035708], 'male': 0.5366, 'rmsle': 0.7383, 'cor': 0.8357}}, train: {'mrr': 0.993, 'cor': 0.9067, 'loss': 0.1764}
2022-11-29 01:41:02 - INFO - epoch: 31, valid: {11: {'mrr': 0.6213005185127258, 'hits@1,3,10': [0.5027422308921814, 0.7029250264167786, 0.8180987238883972], 'ndcg,@100': [0.7000375462543902, 0.6994895735244744], 'male': 0.5353, 'rmsle': 0.7364, 'cor': 0.8379}}, train: {'mrr': 0.9933, 'cor': 0.9081, 'loss': 0.1738}
2022-11-29 01:41:09 - INFO - epoch: 32, valid: {11: {'mrr': 0.6247456073760986, 'hits@1,3,10': [0.5100548267364502, 0.7047532200813293, 0.8208409547805786], 'ndcg,@100': [0.7025018844943811, 0.7019539117644654], 'male': 0.5344, 'rmsle': 0.7354, 'cor': 0.8392}}, train: {'mrr': 0.994, 'cor': 0.9098, 'loss': 0.1685}
2022-11-29 01:41:18 - INFO - epoch: 33, valid: {11: {'mrr': 0.6283980011940002, 'hits@1,3,10': [0.511883020401001, 0.7157221436500549, 0.8263254165649414], 'ndcg,@100': [0.7053887673001773, 0.7049777877527403], 'male': 0.5329, 'rmsle': 0.7333, 'cor': 0.8408}}, train: {'mrr': 0.9937, 'cor': 0.9113, 'loss': 0.1655}
2022-11-29 01:41:27 - INFO - epoch: 34, valid: {11: {'mrr': 0.629774272441864, 'hits@1,3,10': [0.5191956162452698, 0.6992687582969666, 0.8299817442893982], 'ndcg,@100': [0.7064775319125511, 0.7060665523651143], 'male': 0.5308, 'rmsle': 0.7309, 'cor': 0.8422}}, train: {'mrr': 0.9939, 'cor': 0.9127, 'loss': 0.164}
2022-11-29 01:41:36 - INFO - epoch: 35, valid: {11: {'mrr': 0.6298650503158569, 'hits@1,3,10': [0.5182815194129944, 0.7010968923568726, 0.8272395133972168], 'ndcg,@100': [0.7062033206086622, 0.7057923410612253], 'male': 0.53, 'rmsle': 0.7296, 'cor': 0.8433}}, train: {'mrr': 0.9941, 'cor': 0.914, 'loss': 0.1595}
2022-11-29 01:41:46 - INFO - epoch: 36, valid: {11: {'mrr': 0.6310417652130127, 'hits@1,3,10': [0.5210237503051758, 0.7093235850334167, 0.82358318567276], 'ndcg,@100': [0.7072875996559479, 0.7066026337435533], 'male': 0.5275, 'rmsle': 0.7269, 'cor': 0.8445}}, train: {'mrr': 0.9942, 'cor': 0.9149, 'loss': 0.1615}
2022-11-29 01:41:55 - INFO - epoch: 37, valid: {11: {'mrr': 0.6344626545906067, 'hits@1,3,10': [0.5219378471374512, 0.7102376818656921, 0.8263254165649414], 'ndcg,@100': [0.7100050007940594, 0.7094570280641437], 'male': 0.5271, 'rmsle': 0.7264, 'cor': 0.8457}}, train: {'mrr': 0.9945, 'cor': 0.9161, 'loss': 0.1565}
